OGid	start	stop	state
2dc3	2593	2711	3
2dc3	2711	3274	1B
2dc3	3274	3468	2
2dc3	3468	3491	1B
2dc3	3491	3643	1A
2dc3	3643	3663	1B
2dc3	3663	3746	1A
2dc3	3746	3796	1B
2dc3	3796	4363	1A
2dc3	4363	4365	0
3a8f	0	26	0
3a8f	26	46	3
3a8f	46	47	1A
3a8f	47	60	3
3a8f	60	274	1A
3a8f	274	446	2
3a8f	446	555	1A
3a8f	555	595	3
3a8f	595	609	1A
3a8f	609	665	3
3a8f	665	711	1A
3a8f	711	768	2
3a8f	768	831	1A
3a8f	831	943	2
3a8f	943	1156	1A
3a8f	1156	1212	2
3a8f	1212	1322	1A
3a8f	1322	1324	0
11d6	0	104	0
11d6	104	160	1B
11d6	160	180	3
11d6	180	262	1B
11d6	262	349	3
11d6	349	449	1B
11d6	449	593	3
11d6	593	814	2
11d6	814	843	3
11d6	843	994	2
11d6	994	1044	3
11d6	1044	1152	2
11d6	1152	1238	3
11d6	1238	1360	1B
11d6	1360	1483	3
11d6	1483	1681	1B
11d6	1681	1812	2
11d6	1812	1891	1B
11d6	1891	1942	1A
11d6	1942	1974	3
11d6	1974	2031	1B
11d6	2031	2068	1A
11d6	2068	2094	1B
11d6	2094	2135	1A
11d6	2135	2177	1B
11d6	2177	2211	3
11d6	2211	2253	1A
11d6	2253	2375	1B
11d6	2375	2411	1A
11d6	2411	2428	1B
11d6	2428	2449	3
11d6	2449	2697	1B
11d6	2697	3026	1A
017e	0	73	0
017e	73	337	2
017e	337	922	1A
017e	922	955	1B
017e	955	1109	2
017e	1109	1133	1A
017e	1133	1199	1B
017e	1199	1298	1A
017e	1298	1514	2
017e	1514	1877	1A
017e	1877	1907	1B
017e	1907	2219	1A
017e	2219	2260	1B
017e	2260	2314	1A
20d6	0	40	1A
20d6	40	67	1B
20d6	67	92	1A
20d6	92	173	1B
20d6	173	322	1A
20d6	322	370	1B
20d6	370	393	1A
20d6	393	424	1B
20d6	424	452	1A
20d6	452	494	1B
20d6	494	622	1A
20d6	622	653	1B
20d6	653	682	1A
20d6	682	734	1B
20d6	734	768	1A
20d6	768	812	1B
20d6	812	849	1A
20d6	849	885	1B
20d6	885	909	1A
20d6	909	1012	1B
20d6	1012	1057	1A
20d6	1057	1302	2
3597	0	13	0
3597	13	58	1A
3597	58	195	2
3597	195	256	1B
3597	256	312	3
3597	312	347	1B
3597	347	432	1A
3597	432	465	1B
3597	465	1328	1A
3597	1328	1335	1B
3597	1335	1338	0
0a77	0	109	1A
0a77	109	135	1B
0a77	135	178	1A
0a77	178	211	1B
0a77	211	246	1A
0a77	246	286	1B
0a77	286	306	1A
0a77	306	387	1B
0a77	387	443	1A
0a77	443	468	1B
0a77	468	509	1A
0a77	509	539	1B
0a77	539	555	1A
0a77	555	593	3
0a77	593	615	1A
0a77	615	850	1B
0a77	850	891	1A
0a77	891	970	1B
0a77	970	1077	1A
0a77	1077	1247	1B
0a77	1247	1353	1A
0a77	1353	1370	1B
0a77	1370	1705	1A
0a77	1705	2031	3
0a77	2031	2077	1B
0a77	2077	2271	1A
0a77	2271	2298	1B
0a77	2298	2329	1A
0a77	2329	2366	1B
0a77	2366	2443	1A
0a77	2443	2536	1B
0a77	2536	2586	1A
0a77	2586	2632	1B
0a77	2632	2672	1A
0a77	2672	2694	1B
0a77	2694	2716	1A
0a77	2716	2750	1B
0a77	2750	2784	1A
0a77	2784	2817	3
0a77	2817	2842	1B
0a77	2842	2908	1A
0a77	2908	2976	1B
0a77	2976	3203	1A
0a77	3203	3509	1B
0a77	3509	3615	1A
0a77	3615	3633	1B
0a77	3633	3666	3
0a77	3666	3811	1B
0a77	3811	3915	1A
0a77	3915	3992	1B
0a77	3992	4056	1A
0a77	4056	4117	1B
0a77	4117	4143	1A
0a77	4143	4162	1B
0a77	4162	4194	1A
0a77	4194	4264	1B
0a77	4264	4309	1A
