OGid	start	stop	label
2E6D	1757	1882	1B
2E6D	1882	1900	1A
2E6D	1900	1908	1B
3600	0	41	1B
3600	41	91	1A
3600	91	143	1B
3600	143	172	1A
3600	172	300	1B
3600	300	421	1A
3600	421	634	2
3600	634	807	3
3600	807	837	1B
3600	837	878	1A
3600	878	890	1B
3600	890	927	1A
3600	927	1070	1B
3600	1070	1148	1A
3600	1148	1230	2
3600	1230	1238	1B
3600	1238	1276	1A
3600	1276	1360	1B
3600	1360	1421	1A
3600	1421	1573	1B
3600	1573	1700	1A
3600	1700	1726	1B
3600	1726	1771	1A
3600	1771	1795	3
3600	1795	1868	1A
3600	1868	1908	2
3600	1908	1953	1B
3600	1953	2033	1A
3600	2033	2068	1B
3600	2068	2105	1A
3600	2105	2147	2
3600	2147	2223	1A
3600	2223	2326	2
3600	2326	2339	1B
3600	2339	2352	1A
3600	2352	2359	1B
3600	2359	2435	1A
3600	2435	2465	3
3600	2465	3121	1A
3600	3121	3132	1B
3600	3132	3389	1A
3600	3389	3420	1B
3600	3420	3743	1A
3600	3743	3805	2
3600	3805	3820	1B
3600	3820	4359	1A
3600	4359	4369	1B
3600	4369	4423	1A
3600	4423	4497	1B
3600	4497	4771	1A
3600	4771	4950	2
3600	4950	5015	1B
3600	5015	5086	1A
3600	5086	5143	3
3600	5143	5165	1A
3600	5165	5181	1B
3600	5181	5715	1A
3600	5715	5758	1B
3600	5758	5998	1A
